Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score
Club Penguin: Elite Penguin Force,DS,2008,Adventure,3.14,,8
Spider-Man,PS,2000,Action,3.13,87,9
Mario Party 9,Wii,2012,Misc,3.13,73,6.8
Need for Speed III: Hot Pursuit,PS,1998,Racing,3.12,88,
Star Wars Episode I Racer,N64,1999,Racing,3.12,,
Sonic Rush,DS,2005,Platform,3.12,82,8.5
Dragon Warrior IV,NES,1990,Role-Playing,3.12,,
Rhythm Heaven,DS,2008,Misc,3.11,83,9
Fallout: New Vegas,PS3,2010,Role-Playing,3.11,82,7.8
Personal Trainer: Cooking,DS,2006,Misc,3.11,81,7.8
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,3.1,93,8
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,3.1,91,8.9
Resident Evil 6,PS3,2012,Shooter,3.1,74,5.4
Mass Effect 2,X360,2010,Role-Playing,3.1,96,8.9
Dragon Ball Z: Budokai,PS2,2002,Fighting,3.09,67,7.9
Madden NFL 2002,PS2,2001,Sports,3.08,94,7.9
World Class Track Meet,NES,1986,Sports,3.08,,
Donkey Kong,GB,1994,Platform,3.07,,
The Sims: Vacation,PC,2002,Simulation,3.07,75,7.8
LEGO Batman: The Videogame,Wii,N/A,Action,3.06,74,7.9
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,3.05,66,6.9
The Sims 4,PC,2014,Simulation,3.05,70,3.9
Borderlands 2,X360,2012,Shooter,3.05,89,8.2
LEGO Batman: The Videogame,DS,2008,Action,3.05,72,8
Kung Fu Panda,X360,2008,Action,3.04,75,7.4
Mass Effect 3,X360,2012,Role-Playing,3.04,93,5.8
Heavy Rain,PS3,2010,Adventure,3.03,87,7.7
Rayman,PS,1995,Platform,3.03,,
Saints Row 2,X360,2008,Action,3.03,81,8.1
Tom Clancy's Splinter Cell,XB,2002,Action,3.02,93,8.5
Mike Tyson's Punch-Out!!,NES,1987,Fighting,3.02,,
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,3.02,,
FIFA 14,PS4,2013,Sports,3.01,87,6.3
Killzone 2,PS3,2009,Shooter,3.01,91,8.1
Far Cry 3,X360,2012,Shooter,3,91,8.6
Epic Mickey,Wii,2010,Platform,3,73,7
NBA 2K13,X360,2012,Sports,3,88,7.2
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,3,73,9.2
wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,3,,
Star Fox,SNES,1993,Shooter,2.99,,
The Sims: Livin Large,PC,2000,Misc,2.99,82,6.6
World Soccer Winning Eleven 6 International,PS2,2002,Sports,2.99,93,9.1
Devil May Cry,PS2,2001,Action,2.99,94,8.5
Star Wars: The Old Republic,PC,2011,Role-Playing,2.96,85,5.9
Middle-Earth: Shadow of Mordor,PS4,2014,Action,2.96,84,8.1
Sonic Heroes,PS2,2003,Platform,2.96,64,7.8
Hitman 2: Silent Assassin,PS2,2002,Action,2.96,85,7.8
Titanfall,XOne,2014,Shooter,2.95,86,6.4
Battlefield: Bad Company 2,PS3,2010,Shooter,2.95,88,8.5
Wave Race 64,N64,1996,Racing,2.94,,
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,2.94,87,9
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,2.94,,
Pac-Man Collection,GBA,2001,Puzzle,2.94,79,7.8
Street Fighter IV,X360,2009,Fighting,2.94,93,7.3
inFAMOUS,PS3,2009,Action,2.93,85,8.3
Kirby Super Star Ultra,DS,2008,Platform,2.92,76,8.8
Call of Duty: Ghosts,XOne,2013,Shooter,2.92,78,4.3
FIFA 15,X360,2014,Sports,2.92,,4.2
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,2.91,,
Mass Effect,X360,2007,Role-Playing,2.91,91,8.7
Sonic Mega Collection Plus,PS2,2004,Misc,2.9,73,8.6
World Soccer Winning Eleven 7 International,PS2,2003,Sports,2.9,93,9
Sega Superstars Tennis,X360,2008,Sports,2.89,67,6.8
Hot Shots Golf 3,PS2,2001,Sports,2.89,85,8.9
Cooking Mama: Cook Off,Wii,2007,Simulation,2.89,61,5.3
Call of Duty: Finest Hour,PS2,2004,Shooter,2.89,76,7.7
WarioWare: Smooth Moves,Wii,2006,Puzzle,2.89,83,7.4
Syphon Filter,PS,1999,Shooter,2.88,,
Imagine: Babyz,DS,2007,Simulation,2.87,,7.7
Colin McRae Rally,PS,1998,Racing,2.87,,
Madden NFL 13,X360,2012,Sports,2.86,81,5.8
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,2.86,87,8.7
Assassin's Creed IV: Black Flag,PS4,2013,Action,2.85,83,7.8
Command & Conquer: Red Alert,PC,1996,Strategy,2.85,,
F-Zero,SNES,1990,Racing,2.85,,
Yoshi's Story,N64,1997,Platform,2.85,,
Mortal Kombat,PS3,2011,Fighting,2.84,84,8.4
Madden NFL 10,X360,2009,Sports,2.83,85,6.1
WWE SmackDown! vs. Raw,PS2,2002,Fighting,2.83,,
BioShock,X360,2007,Shooter,2.83,96,8.9
Metroid Prime,GC,2002,Shooter,2.82,97,9.3
Assassin's Creed: Brotherhood,PS3,2010,Action,2.82,90,8.2
Finding Nemo,GBA,2003,Action,2.82,,7
Zumba Fitness 2,Wii,2011,Sports,2.81,,tbd
Myst,PC,1994,Adventure,2.81,,
Medal of Honor,PS3,2010,Shooter,2.81,75,7.5
Need for Speed: Most Wanted,PS3,2012,Racing,2.81,,
Imagine: Fashion Designer,DS,2007,Simulation,2.8,,7.6
WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,2.8,,
Hot Shots Golf,PS,1997,Sports,2.79,,
A Bug's Life,PS,1998,Platform,2.79,,
WWF SmackDown! Just Bring It,PS2,2001,Fighting,2.79,,
inFAMOUS: Second Son,PS4,2014,Action,2.79,80,7.9
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,2.79,,
Mortal Kombat Trilogy,PS,1996,Fighting,2.79,,
Monster Hunter Tri,3DS,2011,Role-Playing,2.79,,
NBA Street,PS2,2001,Sports,2.79,89,8.6
Jak II,PS2,2003,Platform,2.78,87,8.2
Ratchet & Clank: Going Commando,PS2,2003,Platform,2.78,,
Need for Speed: Hot Pursuit,PS3,2010,Racing,2.78,89,7.2
Skylanders: Spyro's Adventure,Wii,2011,Action,2.78,81,5.6
Battlefield 3,PC,2011,Shooter,2.78,89,7.5
Mortal Kombat X,PS4,2015,Fighting,2.78,83,7.7
The Sims,PS2,2003,Simulation,2.77,83,7.7
Killzone 3,PS3,2011,Shooter,2.77,84,7.9
Star Wars: The Force Unleashed,X360,2008,Action,2.77,73,6.7
Minecraft,XOne,2014,Misc,2.76,,
Yoshi's Island DS,DS,2006,Platform,2.76,81,7.4
Saints Row: The Third,X360,2011,Action,2.76,84,7.6
Missile Command,2600,1980,Shooter,2.76,,
Mario Paint,SNES,1992,Misc,2.75,,
Tekken 6,PS3,2009,Fighting,2.75,79,7.4
Pokémon Stadium 2,N64,2000,Strategy,2.73,,
Metroid,NES,1986,Action,2.73,,
Sonic and the Secret Rings,Wii,2007,Platform,2.73,69,6.6
FIFA 16,PS3,2015,Sports,2.71,,3.2
The Legend of Zelda: A Link to the Past,GBA,2002,Action,2.7,95,9.1
Onimusha: Warlords,PS2,2001,Action,2.7,86,8.2
Mario Party,N64,1998,Misc,2.7,,
L.A. Noire,X360,2011,Adventure,2.7,89,7.8
Call of Duty 3,X360,2006,Shooter,2.7,82,6.5
Madden NFL 12,X360,2011,Sports,2.69,78,5.9
LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,2.69,84,9
Killzone: Shadow Fall,PS4,2013,Shooter,2.69,73,6.8
Madden NFL 11,X360,2010,Sports,2.69,84,5.7
Burnout 3: Takedown,PS2,2004,Racing,2.68,93,9.1
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,2.68,,
Mortal Kombat,GEN,1992,Fighting,2.67,,
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,2.67,79,7.7
Professor Layton and the Last Specter,DS,2009,Puzzle,2.67,83,8.7
Call Of Duty 2: Big Red One,PS2,2005,Shooter,2.67,77,8.2
Medal of Honor,PS,1998,Shooter,2.67,92,8.6
Fable,XB,2004,Role-Playing,2.66,85,8.5
Guitar Hero: World Tour,X360,2008,Misc,2.66,85,6.3
FIFA 17,XOne,2016,Sports,2.65,84,5.5
Hannah Montana,DS,2006,Action,2.65,,6.7
Tom Clancy's Splinter Cell,PS2,2003,Action,2.65,89,7.7
Super Mario Bros.: The Lost Levels,NES,1986,Platform,2.65,,
Need for Speed: Shift,PS3,2009,Racing,2.65,84,6.9
Star Wars: Shadows of the Empire,N64,1996,Action,2.65,,
Medal of Honor Heroes,PSP,2006,Shooter,2.65,71,7.9
Final Fantasy XIII-2,PS3,2011,Role-Playing,2.63,79,6.6
Midnight Club: Street Racing,PS2,2000,Racing,2.63,78,7.8
Skate 3,X360,2010,Sports,2.63,80,8
ESPN NFL 2K5,PS2,2004,Sports,2.62,90,8.2
Halo Wars,X360,2009,Strategy,2.62,82,7.2
NBA 2K12,X360,2011,Sports,2.62,90,7.7
Pac-Man: Adventures in Time,PSP,2006,Fighting,2.62,,
FIFA Soccer 10,X360,2009,Sports,2.62,90,7.5
Medal of Honor,X360,2010,Shooter,2.61,74,6.7
Harry Potter and the Chamber of Secrets,PS2,2002,Action,2.61,71,7.6
Streets of Rage,GEN,1990,Action,2.6,,
God of War Collection,PS3,2009,Action,2.6,91,8.7
NBA Live 2005,PS2,2004,Sports,2.59,84,8.1
Mario Strikers Charged,Wii,2007,Sports,2.58,79,8
FIFA Soccer 09,PS3,2008,Sports,2.58,87,7.5
Style Savvy,DS,2008,Simulation,2.58,73,7.7
WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,2.58,80,8.6
LEGO Star Wars: The Complete Saga,X360,2007,Action,2.57,80,7.4
Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,2.57,,
Madden NFL 08,PS2,2007,Sports,2.57,78,7.8
Monster Hunter Freedom 2,PSP,2007,Role-Playing,2.57,72,8.7
Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,2.56,,
Super Mario All-Stars: Limited Edition,Wii,2010,Platform,2.56,,
Sonic Adventure 2 Battle,GC,2001,Platform,2.56,73,8.3
Dragon Warrior II,NES,1987,Role-Playing,2.56,,
Ghostbusters: The Video Game (DS Version),X360,2009,Action,2.56,,
Madden NFL 13,PS3,2012,Sports,2.56,83,5.5
Dragon Age: Origins,X360,2009,Role-Playing,2.56,86,7.9
Pokémon Colosseum,GC,2003,Role-Playing,2.54,73,8
LittleBigPlanet,PSP,2009,Platform,2.54,87,7.8
Madden NFL 09,X360,2008,Sports,2.53,83,7
Space Invaders,2600,N/A,Shooter,2.53,,
Crazy Taxi,PS2,2001,Racing,2.52,80,7.9
Art Academy,DS,2010,Misc,2.52,75,8
NBA 2K14,X360,2013,Sports,2.52,87,4.9
Perfect Dark,N64,2000,Action,2.52,,
Skylanders Giants,Wii,2012,Action,2.52,78,7
Dragon Warrior,NES,1986,Role-Playing,2.52,,
Deca Sports,Wii,2008,Sports,2.5,50,5.4
PES 2009: Pro Evolution Soccer,PS2,2008,Sports,2.5,,
Mario Party 2,N64,1999,Misc,2.5,,
Marvel: Ultimate Alliance,X360,2006,Role-Playing,2.5,82,7.5
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003,Action,2.49,,
Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,2.49,79,8.8
Game Party,Wii,2007,Misc,2.48,25,4.3
Bloodborne,PS4,2015,Action,2.48,92,8.6
Tomb Raider: The Last Revelation,PS,1998,Action,2.48,,
Mario Party 4,GC,2002,Misc,2.47,70,7.4
Pure,X360,2008,Racing,2.47,85,7.7
Rock Band,X360,N/A,Misc,2.47,92,8.2
NBA 2K13,PS3,2012,Sports,2.47,90,8
Saints Row: The Third,PS3,2011,Action,2.47,82,7.7
Resistance 2,PS3,2008,Shooter,2.46,87,6.1
NBA 2K15,PS4,2014,Sports,2.45,83,7
Final Fantasy V,SNES,1992,Role-Playing,2.45,,
Final Fantasy Tactics,PS,1997,Role-Playing,2.45,83,8.2
Midnight Club: Los Angeles,PS3,2008,Racing,2.45,82,8.2
Twisted Metal 2,PS,1996,Racing,2.44,,
The Sims: Bustin' Out,PS2,2003,Simulation,2.43,81,8.4
Riven: The Sequel to Myst,PC,1997,Adventure,2.43,83,
LEGO Harry Potter: Years 1-4,Wii,2010,Action,2.43,79,8
Need for Speed (2015),PS4,2015,Racing,2.43,,
Call of Duty: Infinite Warfare,XOne,2016,Shooter,2.42,78,3.1
Madden NFL 16,XOne,2015,Sports,2.42,84,6.1
Ice Hockey,NES,1988,Sports,2.42,,
Sonic Adventure,DC,1998,Platform,2.42,,
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,2.42,82,7.8
uDraw Studio,Wii,2010,Misc,2.42,71,tbd
Tomb Raider (2013),PS3,2013,Action,2.42,,
Need for Speed Carbon: Own the City,PSP,2006,Racing,2.42,73,7.9
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,2.41,66,8.2
pro evolution soccer 2011,PS3,2010,Sports,2.41,77,6.8
ATV Offroad Fury,PS2,2001,Racing,2.41,82,8.4
Dino Crisis,PS,1998,Action,2.41,,
Need for Speed: ProStreet,PS2,2007,Racing,2.41,62,6.2
Halo: Combat Evolved Anniversary,X360,2011,Shooter,2.4,82,8.1
Tetris Plus,PS,1996,Puzzle,2.4,,
Pro Wrestling,NES,1987,Fighting,2.4,,
Theme Hospital,PC,1997,Strategy,2.4,,9
Frogger's Adventures: Temple of the Frog,GBA,N/A,Adventure,2.39,73,tbd
Monopoly,PC,1994,Misc,2.39,,
,GEN,1993,,2.39,,
Guitar Hero,PS2,2005,Misc,2.38,91,8.7
Madden NFL 11,PS3,2010,Sports,2.38,83,6.1
WCW/nWo Revenge,N64,1998,Fighting,2.38,,
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,2.38,,
Dead Island,X360,2011,Action,2.37,71,6.9
Half-Life 2,PC,2004,Shooter,2.37,96,9.1
The Incredibles,PS2,2004,Action,2.37,62,7.6
Madden NFL 08,X360,2007,Sports,2.37,85,6.4
Tony Hawk's Underground 2,PS2,2004,Sports,2.37,83,8.8
Zumba Fitness,X360,2010,Sports,2.37,42,5.5
Madden NFL 10,PS3,2009,Sports,2.37,85,6.8
Kirby's Dream Land 2,GB,1995,Platform,2.36,,
Midnight Club: Los Angeles,X360,2008,Racing,2.35,81,8.5
Donkey Kong Land II,GB,1996,Platform,2.35,,
Dragon Warrior Monsters,GB,1998,Role-Playing,2.35,,
Kinect: Disneyland Adventures,X360,2011,Misc,2.35,73,2.9
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,2.34,71,7.2
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,2.34,89,9
LEGO Indiana Jones: The Original Adventures,Wii,N/A,Action,2.34,78,6.6
Resident Evil - Code: Veronica X,PS2,2001,Action,2.34,84,8.4
NBA 2K16,XOne,2015,Sports,2.34,86,6.2
Kinect Sports: Season Two,X360,2011,Sports,2.34,66,6.5
My Fitness Coach,Wii,2008,Sports,2.32,,8.6
Mario Tennis,N64,2000,Sports,2.32,,
Grand Theft Auto,PS,1997,Action,2.32,,
James Bond 007: Everything or Nothing,PS2,2004,Shooter,2.31,84,9.1
Need For Speed: High Stakes,PS,1999,Racing,2.31,86,8.5
Chrono Trigger,SNES,1995,Role-Playing,2.31,,
Guild Wars 2,PC,2012,Action,2.31,90,7.9
Cool Boarders 3,PS,1998,Sports,2.31,,
Paper Mario: Sticker Star,3DS,2012,Role-Playing,2.3,75,5.6
WarioWare Touched!,DS,2004,Puzzle,2.3,,
Batman: Arkham Origins,PS3,2013,Action,2.29,76,7.7
Tomb Raider II,PC,1997,Action,2.29,,8.3
Yokai Watch Busters,3DS,2015,Action,2.29,,
LEGO Star Wars: The Complete Saga,PS3,2007,Action,2.29,80,6.7
Need for Speed Underground 2,XB,2004,Racing,2.28,77,8.7
Pro Evolution Soccer 2010,PS3,2009,Sports,2.28,78,6.7
Mario Bros.,NES,1983,Platform,2.28,,
FIFA Soccer 09,PS2,2008,Sports,2.28,82,6.9
LEGO Harry Potter: Years 1-4,DS,2010,Action,2.28,72,7.2
The Sims 3,X360,2010,Simulation,2.28,76,7.1
Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,2.28,68,8.2
TOCA Touring Car Championship,PS,1997,Racing,2.28,,
Dead Island,PS3,2011,Action,2.27,71,6.6
Kirby: Nightmare in Dream Land,GBA,2002,Platform,2.27,81,8.9
Wario Land 4,GBA,2001,Platform,2.26,88,8.9
Sonic's Ultimate Genesis Collection,PS3,2009,Misc,2.26,80,8.6
Far Cry: Primal,PS4,2016,Action,2.26,76,6.3
Battlefield 1,XOne,2016,Shooter,2.25,87,8.2
Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,2.25,84,9
Cool Boarders 2,PS,1997,Sports,2.25,,
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,2.25,87,9.4
Madden NFL 12,PS3,2011,Sports,2.25,79,5.5
God of War: Ascension,PS3,2013,Action,2.25,80,7.5
Guitar Hero III: Legends of Rock,PS3,2007,Misc,2.24,83,7.8
Sonic Advance,GBA,2001,Platform,2.24,87,8.1
Super Monkey Ball: Banana Blitz,Wii,2006,Misc,2.24,74,5.7
Just Dance Kids,Wii,2010,Misc,2.24,,tbd
Call of Duty 3,Wii,N/A,Shooter,2.24,69,6.7
New Super Luigi U,WiiU,2013,Platform,2.24,77,7.9
Assassin's Creed IV: Black Flag,XOne,2013,Action,2.23,,7.4
Spyro: Season of Ice,GBA,2001,Platform,2.23,74,8
Dissidia: Final Fantasy,PSP,2008,Fighting,2.23,79,8
Madden NFL 25,X360,2013,Sports,2.23,80,5.6
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,2.23,,
Dance Dance Revolution X2,PS2,2009,Simulation,2.23,,tbd
Borderlands 2,PS3,2012,Shooter,2.23,91,8.2
Prince of Persia: The Sands of Time,PS2,2003,Action,2.22,92,8.8
Monster Hunter Tri,Wii,2009,Role-Playing,2.22,84,8.6
LEGO Marvel Super Heroes,X360,2013,Action,2.22,80,7.6
The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,2.22,,
Resident Evil 4,Wii,2007,Action,2.22,,
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,2.21,73,7.3
Star Wars: The Force Unleashed,PS3,2008,Action,2.21,71,6.6
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,2.21,,
Frogger,2600,1981,Action,2.2,,
Guitar Hero II,X360,2007,Misc,2.2,92,8.1
Forza Motorsport 5,XOne,2013,Racing,2.2,79,5.9
Rock Band 2,X360,2008,Misc,2.2,92,8.3
Pro Yakyuu Family Stadium,NES,1986,Sports,2.2,,
Wario Land 3,GB,2000,Platform,2.2,,
Need for Speed: Hot Pursuit,X360,2010,Racing,2.2,88,7
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,2.2,80,7.9
BioShock 2,X360,2010,Shooter,2.2,88,8.2
High School Musical: Makin' the Cut!,DS,2007,Puzzle,2.2,,
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,2.19,94,9.2
Kirby's Pinball Land,GB,1992,Misc,2.19,,
Donkey Kong Country,GB,2000,Platform,2.19,,
Madden NFL 15,PS4,2014,Sports,2.19,81,6.1
Pro Evolution Soccer 2012,PS3,2011,Action,2.19,80,6.6
Saints Row,X360,2006,Action,2.18,81,7.5
Yu-Gi-Oh: Duel Monsters 4,GB,2000,Role-Playing,2.18,,
ATV Offroad Fury 2,PS2,2002,Racing,2.18,82,8.9
FIFA 15,XOne,2014,Sports,2.18,82,5.4
Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,2.17,,
Star Wars: Rogue Squadron,N64,1998,Simulation,2.17,,
Tennis,NES,1984,Sports,2.17,,
Tom Clancy's The Division,XOne,2016,Shooter,2.16,80,6.9
Final Fantasy XIII,X360,2010,Role-Playing,2.16,82,6.3
The Sims: House Party,PC,2001,Simulation,2.16,74,7.9
Scribblenauts,DS,2009,Puzzle,2.16,79,7.6
Sonic Unleashed,Wii,2008,Platform,2.16,66,7.3
Syphon Filter 2,PS,2000,Shooter,2.15,,
Pokemon Ranger,DS,2006,Role-Playing,2.15,69,7.6
Volleyball,NES,1987,Sports,2.15,,
Skylanders SWAP Force,Wii,2013,Platform,2.15,,6.6
Overwatch,PS4,2016,Shooter,2.14,90,6.1
Hitman: Absolution,PS3,2012,Action,2.14,83,7.5
SimCity 2000,PC,1992,Simulation,2.14,,
R.C. Pro-Am,NES,1988,Racing,2.14,,
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,2.14,,
Mahjong,NES,1983,Misc,2.14,,
Demon Attack,2600,1981,Shooter,2.13,,
Call of Duty: Roads to Victory,PSP,2007,Shooter,2.13,64,7.5
Dance Dance Revolution Extreme,PS2,2004,Simulation,2.13,77,9
Final Fantasy Tactics Advance,GBA,2003,Role-Playing,2.13,87,7.8
Your Shape featuring Jenny McCarthy,Wii,2009,Sports,2.12,62,5.2
Project Gotham Racing,XB,2001,Racing,2.12,85,8.2
Golf,GB,1989,Sports,2.12,,
NBA 2K12,PS3,2011,Sports,2.11,90,6.7
Tony Hawk's Pro Skater,N64,2000,Sports,2.11,,
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,2.11,89,8.5
PES 2009: Pro Evolution Soccer,PS3,2008,Sports,2.11,,
Dynasty Warriors 4,PS2,2003,Action,2.11,78,9.3
NBA 2K14,PS3,2013,Sports,2.11,84,4.9
Parasite Eve,PS,1998,Role-Playing,2.1,81,8.9
Tetris DS,DS,2006,Puzzle,2.1,84,8.7
Project Gotham Racing (JP weekly sales),XB,2002,Action,2.1,,
Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,2.1,,
Battlefield: Hardline,PS4,2015,Shooter,2.1,73,5
Mortal Kombat,X360,2011,Fighting,2.1,86,8.3
Borderlands,PS3,2009,Shooter,2.09,83,7.9
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,2.09,84,9
Derby Stallion,PS,1997,Sports,2.09,,
NBA 2K11,X360,2010,Action,2.09,89,8.1
Finding Nemo,PS2,2003,Action,2.09,,
Dying Light,PS4,2015,Action,2.09,74,7.9
Yokai Watch,3DS,2013,Role-Playing,2.09,,
Dead Rising,X360,2006,Action,2.08,85,7.6
World of Warcraft: Cataclysm,PC,2010,Role-Playing,2.08,90,5.6
Tetris Worlds,PS2,2002,Puzzle,2.08,44,6.2
Final Fantasy III,DS,2006,Role-Playing,2.08,77,7.1
Sim Theme Park,PC,1998,Strategy,2.08,,8.3
Mario Party 5,GC,2003,Misc,2.08,69,8.2
Rock Band,Wii,N/A,Misc,2.08,80,6.3
Warcraft: Orcs & Humans,PC,1994,Strategy,2.08,,
Mario & Luigi: Dream Team,3DS,2013,Role-Playing,2.08,,
Portal 2,X360,2011,Shooter,2.08,95,8.5
Mario Sports Mix,Wii,2010,Sports,2.08,64,7.1
Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,2.07,72,7.8
Spec Ops: Airborne Commando,PS,2002,Shooter,2.07,,
The Sims 2: Pets,DS,2006,Simulation,2.07,49,5.2
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,2.07,73,7.1
DriveClub,PS4,2014,Racing,2.07,71,6.1
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,2.07,,
UFC 2009 Undisputed,X360,2009,Fighting,2.06,83,7.9
Metal Gear Solid: Peace Walker,PSP,2010,Action,2.06,89,8.9
Kirby's Epic Yarn,Wii,2010,Platform,2.06,,
Wipeout: The Game,Wii,2009,Misc,2.06,,
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,2.06,,
The Incredibles,GBA,2004,Action,2.06,55,tbd
R4: Ridge Racer Type 4,PS,1998,Racing,2.06,88,9.2
Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,2.06,82,8.6
Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,2.06,,
SoulCalibur II,PS2,2003,Fighting,2.06,92,8.8
Need for Speed: ProStreet,X360,2007,Racing,2.05,72,7.1
Sonic Mega Collection,GC,2002,Misc,2.05,75,8.8
Ghostbusters: The Video Game (DS Version),PS3,2010,Action,2.05,,
Madden NFL 15,X360,2014,Sports,2.05,,5.5
Need For Speed: Undercover,PS3,2008,Racing,2.05,59,5.9
Toy Story 3: The Video Game,DS,2010,Action,2.05,,
NBA Jam,GEN,1992,Sports,2.05,,
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,2.04,72,9
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,2.04,82,8.2
Need for Speed: ProStreet,PS3,2007,Racing,2.04,73,6
Donkey Kong Country,GBA,2003,Platform,2.04,78,8.9
Dance Central 2,X360,2011,Misc,2.04,86,8.2
PGR4 - Project Gotham Racing 4,X360,2007,Racing,2.04,,
1080°: TenEighty Snowboarding,N64,1998,Sports,2.03,,
Carnival Games,DS,2008,Misc,2.03,48,3.3
NBA Live 2004,PS2,2003,Sports,2.03,86,7.7
Call of Duty 2,X360,2005,Shooter,2.03,89,8.1
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,2.03,73,7.7
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,2.02,62,8.1
Dark Souls,PS3,2011,Role-Playing,2.02,89,8.7
Just Dance 3,X360,2011,Misc,2.02,70,7.7
Battlefield 4,XOne,2013,Shooter,2.02,81,6.6
Fire Emblem: Awakening,3DS,2012,Role-Playing,2.01,92,9.1
Need for Speed: The Run,PS3,2011,Action,2.01,64,6.4
Just Dance 2015,Wii,2014,Misc,2.01,,8.4
Dragon Age: Inquisition,PS4,2014,Role-Playing,2.01,89,7.4
Super Street Fighter II,SNES,1993,Fighting,2,,
Dead Space,PS3,2008,Action,2,88,8.8
Mortal Kombat vs. DC Universe,PS3,2008,Fighting,2,76,7.1
TouchMaster,DS,2007,Puzzle,2,71,5.7
Tenchu: Stealth Assassins,PS,1997,Action,1.99,87,8.8
Tennis,GB,1989,Sports,1.99,,
Harry Potter and the Chamber of Secrets,GBA,2002,Action,1.99,76,7.9
Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,1.98,75,7.8
Skate 3,PS3,2010,Sports,1.98,80,7.6
SimCity,SNES,1991,Simulation,1.98,,
Harry Potter and the Chamber of Secrets,PS,2002,Action,1.98,,8.5
Need for Speed Rivals,PS4,2013,Racing,1.98,80,6.2
Spyro: Enter the Dragonfly,PS2,2002,Platform,1.97,56,4.1
Devil May Cry 2,PS2,2003,Action,1.97,68,6.6
E.T.: The Extra Terrestrial,2600,1981,Action,1.97,,
Hot Shots Golf: Open Tee,PSP,2004,Sports,1.96,81,8.7
Minecraft,PSV,2014,Misc,1.96,,
Soccer,NES,1985,Sports,1.96,,
Rad Racer,NES,1986,Racing,1.96,,
Forza Horizon,X360,2012,Racing,1.96,85,8.4
Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,1.95,88,8.3
Crash Nitro Kart,PS2,2003,Racing,1.95,69,7.7
Resident Evil 6,X360,2012,Shooter,1.95,67,5
Grand Theft Auto: San Andreas,XB,2005,Action,1.95,93,8.6
Star Wars: Dark Forces,PC,1994,Shooter,1.95,,
NBA Street Vol. 2,PS2,2003,Sports,1.95,90,8.8
Def Jam Vendetta,PS2,2003,Fighting,1.94,80,8.9
Kirby Squeak Squad,DS,2006,Platform,1.94,71,8.1
