value,category,name
8782571,Tabletop Games,Exploding Kittens
6465690,Product Design,Fidget Cube: A Vinyl Desk Toy
5408916,Web,"Bring Reading Rainbow Back for Every Child, Everywhere!"
5702153,Narrative Film,The Veronica Mars Movie Project
3336371,Video Games,Double Fine Adventure
20338986,Product Design,"Pebble Time - Awesome Smartwatch, No Compromises"
4188927,Video Games,Torment: Tides of Numenera
3986929,Video Games,Pillars of Eternity (formerly Project Eternity)
2090104,Video Games,Yooka-Laylee - A 3D Platformer Rare-vival!
3007370,Technology,ZNAPS - Connection is just a snap away
6333295,Video Games,Shenmue 3
10266845,Product Design,Pebble: E-Paper Watch for iPhone and Android
3845170,Video Games,Mighty No. 9
12779843,Product Design,"Pebble 2, Time 2 + All-New Pebble Core"
5545991,Video Games,Bloodstained: Ritual of the Night
3246588,Tabletop Games,Joking Hazard
8596474,Gaming Hardware,OUYA: A New Kind of Video Game Console
13285226,Product Design,COOLEST COOLER: 21st Century Cooler that's Actually Cooler
2933252,Video Games,Wasteland 2
5764229,Television,Bring Back MYSTERY SCIENCE THEATER 3000
3105473,Narrative Film,WISH I WAS HERE
9192055,Product Design,The World's Best TRAVEL JACKET with 15 Features || BAUBAX
2229344,Video Games,Planetary Annihilation - A Next Generation RTS
2032434,Video Games,Divinity: Original Sin 2
2785537,Video Games,BATTLETECH - Tactical 'Mech Combat Returns to the PC.
2071927,Hardware,CHIP - The World's First Nine Dollar Computer
1731465,Hardware,"PINE A64, First $15 64-Bit Single Board Super Computer"
1836447,Video Games,Shadowrun Returns
1106371,Video Games,Kingdom Come: Deliverance
1479046,Tabletop Games,Secret Hitler
2134374,Video Games,Star Citizen
1519680,Video Games,The Bard's Tale IV
1229015,Video Games,Double Fine's MASSIVE CHALICE
1204726,Video Games,Shadowrun: Hong Kong
3771474,Tabletop Games,Dark Souls\u2122 - The Board Game
1353024,Tabletop Games,"Million Dollars, But... The Game"
695138,Product Design,Pressy - the Almighty Android Button!
851108,Product Design,Xpand\xae Lacing System: Shoelaces Redesigned
702516,Video Games,Castle Story
2344134,Hardware,3Doodler: The World's First 3D Printing Pen
6565782,Product Design,"The Everyday Backpack, Tote, and Sling"
1578316,Video Games,Elite: Dangerous
1192793,Music,"Theatre Is Evil: the album, art book and tour"
2485506,Video Games,Homestuck Adventure Game
645158,Video Games,Hyper Light Drifter
1911827,Narrative Film,Blue Mountain State: The Movie
658434,Product Design,Passion Planner: The One Place for All Your Thoughts
1241615,Space Exploration,LightSail: A Revolutionary Solar Sailing Spacecraft
751920,Video Games,Stonehearth
3560642,Tabletop Games,Massive Darkness
1919275,Video Games,Shroud of the Avatar: Forsaken Virtues
1321306,Video Games,Obduction
1647155,Hardware,Remix Mini - The World's First True Android PC.
1538425,Video Games,Dreamfall Chapters: The Longest Journey
620412,Radio &amp; Podcasts,Radiotopia: A Storytelling Revolution
1350700,Video Games,System Shock
929160,Product Design,Bunch O Balloons: 100 Water Balloons in Less Than 1 Minute
1232612,Flight,PowerUp 3.0 - Smartphone Controlled Paper Airplane
4079204,Tabletop Games,Zombicide: Black Plague
1078634,Product Design,"""Oi"" - The bike bell that doesn't look like a bike bell"
590807,Radio &amp; Podcasts,Planet Money T-shirt
723886,Video Games,The Banner Saga
1578950,Video Games,WARMACHINE: TACTICS
1479231,Product Design,FaceCradle Travel Pillow - Upgrade to Sleeping Class!
944282,Video Games,Divinity: Original Sin
2410741,Technology,Sense: Know More. Sleep Better.
839301,Technology,SnapPower Charger: Add USB ports to your wall with no wiring
776084,Video Games,Shantae: Half-Genie Hero
6225354,Sound,Pono Music - Where Your Soul Rediscovers Music
872133,Animation,Bee and PuppyCat: The Series
974578,Video Games,Armikrog.
2278255,Video Games,HEX MMO Trading Card Game
3429235,Games,Reaper Miniatures Bones: An Evolution Of Gaming Miniatures
1810294,Tabletop Games,Scythe
2640852,Technology,Purple\xae Pillow: The World's First No-Pressure Pillow
630019,Action,KUNG FURY
1505366,Space Exploration,ARKYD: A Space Telescope for Everyone
470310,Gadgets,Matchstick - The Streaming Stick Built on Firefox OS
526563,Video Games,Project GODUS
4869472,Product Design,The Everyday Messenger: A Bag For Cameras & Essential Carry
1766204,Video Games,Crowfall - Throne War PC MMO
859425,Documentary,The Bill Nye Film
2952508,Hardware,The Superbook: Turn your smartphone into a laptop
2950874,3D Printing,Tiko - The Unibody 3D Printer
672801,DIY Electronics,"Omega2: $5 Linux Computer with Wi-Fi, Made for IoT"
1193776,Product Design,BetterBack\u2014Perfect Posture Effortlessly (getbetterback.com)
701010,Video Games,The Mandate
706287,Product Design,"Passion Planner: Get One, Give One"
2321811,Technology,OLO - The First Ever Smartphone 3D Printer.
3327757,Tabletop Games,Conan
3390551,Product Design,The Dash \u2013 Wireless Smart In Ear Headphones
660126,Video Games,Unsung Story: Tale of the Guardians
1014600,Video Games,\u3010Project Phoenix\u3011 Japan's indie RPG feat. AAA talent!
625143,Video Games,Carmageddon: Reincarnation
626250,Video Games,Thimbleweed Park: A New Classic Point & Click Adventure!
580905,Publishing,To Be Or Not To Be: That Is The Adventure
360286,Product Design,The Stupendous Splendiferous ButterUp
308838,Fashion,The CRABBY Wallet: A wallet that is not for everyone...
461333,Video Games,Satellite Reign
3169610,Tabletop Games,Reaper Miniatures Bones II: The Return Of Mr Bones!
1254120,Comics,The Order of the Stick Reprint Drive
1440345,Typography,B I B L I O T H E C A
2232933,Video Games,Camelot Unchained
311502,Video Games,Shovel Knight
501252,Video Games,Prey for the Gods
468629,Tabletop Games,Tiny Epic Western
1178504,Product Design,Luuup Litter Box - The Best Cat Litter Box Ever Made
817164,Product Design,POLAR Pen & Stylus 2.0 - Made from MAGNETS
770309,Animation,The Cyanide & Happiness Show
856354,Video Games,Battle Chasers: Nightwar
575926,Tabletop Games,PolyHero Dice - Wizard Set
844127,Video Games,Amplitude
655182,Video Games,Make Leisure Suit Larry come again!
771560,Video Games,Broken Sword - the Serpent's Curse Adventure
860356,Video Games,Underworld Ascendant
507612,Video Games,7 Days to Die  - Zombie Survival Game
631230,Tabletop Games,Robot Turtles: The Board Game for Little Programmers
567665,Video Games,Yogventures!
1105177,Fashion,8-in-1 EVOLUTION BRA: The World's Most Advanced Bra
942578,Product Design,TikTok+LunaTik Multi-Touch Watch Kits
2730365,Tabletop Games,Reaper Miniatures Bones 3: The Search for Mr. Bones!
675614,Children's Books,Good Night Stories for Rebel Girls - 100 tales to dream BIG
1522160,Product Design,Kano: A computer anyone can make
1851033,Apparel,"ADV3NTURE Hoodie, the Most Funded Fashion Kickstarter EVER!"
460602,Product Design,The Spark Planner - Achieve all your goals in 2016
1083344,Food,Misen: Cook Sharp
1229074,Technology,"Lima,\xa0The Brain of Your Devices"
526274,Tabletop Games,OrganATTACK! - a Card Game by The Awkward Yeti
454717,Crafts,"""This is Fine"" Plush Dog."
1110820,Camera Equipment,"Pulse - Your Camera, Upgraded."
353317,Gadgets,BULLET | World's Smallest LED Flashlight
1439098,Food,Prepd Pack - The Lunchbox Reimagined
1633361,Food,"The Field Skillet: Lighter, Smoother Cast Iron"
1464706,Product Design,Elevation Dock: The Best Dock For iPhone
411693,Tabletop Games,Tiny Epic Galaxies - The Universe In Your Pocket!
537515,Video Games,Grim Dawn
674425,DIY Electronics,Circuit Scribe: Draw Circuits Instantly
823704,Video Games,Friday the 13th: The Game
1351142,Tabletop Games,Tak: A Beautiful Game
878028,Animation,Under the Dog
1224220,Tabletop Games,THE 7th CONTINENT - Explore. Survive. YOU are the hero!
2335119,Technology,ZANO - Autonomous. Intelligent. Swarming. Nano Drone.
2849064,Tabletop Games,Zombicide: Season 3
386422,Animation,NICHTLUSTIG - die Serie!
585122,Tabletop Games,Epic Card Game
3401361,3D Printing,The Micro: The First Truly Consumer 3D Printer
150795,Fashion,THE BLUELACE PROJECT: A revolution built one foot at a time.
375193,Radio &amp; Podcasts,99% Invisible: Season 4- Weekly!
620999,Comedy,"RiffTrax Live 2016: MST3K Reunion, Time Chasers & Mothra!"
1529561,Design,kraftwerk - highly innovative portable power plant
250798,Video Games,SUPERHOT
387345,Video Games,The Universim
555662,Video Games,Republique by Camouflaj + Logan
1316813,Tabletop Games,7th Sea: Second Edition
424959,Product Design,NeoLucida - A Portable Camera Lucida for the 21st Century
1115031,Sound,FireFlies - Truly Wire-Free Earbuds - Music Without Limits!
1947035,Product Design,ZUNGLE : Wear the Beats
589660,Graphic Design,The Name of the Wind Playing Cards
56959,Apps,1 Second Everyday App
600874,Hip-Hop,De La Soul ...and the Anonymous Nobody - COMING SOON!
406979,Video Games,Wolcen: Lords of Mayhem\xa0(PC and Linux)
568106,DIY Electronics,MaKey MaKey: An Invention Kit for Everyone
574699,Product Design,Rocketbook Wave: Cloud Connected Microwavable Notebook
807452,Product Design,The Norlan Whisky Glass
250070,Tabletop Games,Dungeon Roll - A Dicey Dungeon Delve
1010958,Tabletop Games,Masmorra: Dungeons of Arcadia
539767,Video Games,Two Guys SpaceVenture - by the creators of Space Quest
1363037,World Music,Voyager Golden Record: 40th Anniversary Edition
1353798,Gadgets,Bagel: The World's Smartest Tape Measure
1361435,Video Games,Chronicles of Elyria - Epic Story MMORPG with Aging & Death
420252,Video Games,EVERSPACE
411635,Tabletop Games,Tiny Epic Galaxies: Beyond the Black
556596,Tabletop Games,Machine of Death: The Game of Creative Assassination
640923,Product Design,"Bobby, the Best Anti Theft backpack by XD Design"
458071,Product Design,GOAT STORY: Bringing style to coffee drinking
808341,Film &amp; Video,Video Game High School: Season Two
2530756,Sound,Revols - Premium Quick Custom-Fit Wireless Earphones
1811321,Food,Anova Precision Cooker - Cook sous vide with your phone
625851,Hardware,Smart Herb Garden by Click & Grow
310708,Video Games,Planets\xb3
335657,Video Games,Make LA Game Space possible!
1559525,Drinks,The uKeg Pressurized Growler for Fresh Beer
2708472,Sound,OSSIC X: The first 3D audio headphones calibrated to you
232347,Product Design,"ZipChip  |  ""The New Way to Play"""
552501,Product Design,Orbitkey 2.0 - Carry Your Keys Better
241651,Music,Music for Cats
1552256,Technology,"3Doodler 2.0: The World\u2019s First 3D Printing Pen, Reinvented"
1464489,Tabletop Games,The Others: 7 Sins
1433779,Wearables,PUGZ-World's smallest wireless earbuds charged through phone
433365,Tabletop Games,Fate Core
332635,Video Games,Dead State: The Zombie Survival RPG
317281,Video Games,Battalion 1944
1710713,Tabletop Games,Arcadia Quest: Inferno
1518321,Tabletop Games,Sentinels of the Multiverse: OblivAeon
2085491,Wearables,Ticwatch 2: The Most Interactive Smartwatch
437738,Product Design,"MOGICS Power Donut & Bagel - Share the Power, Save the Space"
905682,Tabletop Games,Blood Rage
200542,Video Games,FTL: Faster Than Light
384319,Hardware,The Nifty MiniDrive
1251486,Food,MEATER: The First Truly Wireless Smart Meat Thermometer
583544,Accessories,MAGBELT - A magnetic belt that fits perfectly to your waist.
588903,Publishing,Only on Kickstarter: THE LEADER'S GUIDE by ERIC RIES
313337,Video Games,Darkest Dungeon by Red Hook Studios
621811,Tabletop Games,This War Of Mine: The Board Game
654557,Footwear,SKINNERS: Revolutionary Ultraportable Footwear with Silver
146288,Fashion,Lace Anchors 2.0: A simple design for simple people.
389005,Tabletop Games,Town of Salem - The Card Game
404763,Fashion,Period Panties Briefs
2437429,Gaming Hardware,Oculus Rift: Step Into the Game
268132,Video Games,RimWorld
719779,Space Exploration,Reboot the Suit: Bring Back Neil Armstrong\u2019s Spacesuit
861164,Product Design,Slide Camera Sling and Clutch Hand Strap by Peak Design
662640,Documentary,"""For the Love of Spock"" - A Documentary Film"
461583,Tabletop Games,Wizard School
278874,Food,Edible Cutlery: The Future of Eco Friendly Utensils
380747,Children's Books,Hello Ruby
1314542,Technology,LIFX: The Light Bulb Reinvented
1053830,Apparel,"THE 10-YEAR HOODIE: Built for Life, Backed for a Decade!"
473098,Product Design,\u3010VAGO\u3011Best travel tool.Give you more than 50% luggage space!
296360,Video Games,A Hat in Time - 3D collect-a-thon platformer
383385,Product Design,The BASICS Notebook: Simplify and Improve Your Life
622785,Gadgets,HUDWAY Glass: keeps your eyes on the road while driving
189851,Accessories,The Sunglasses That Will Change The Business Forever
480411,Technology,The SnapRays Guidelight by SnapPower : Illuminate your life
528144,Comics,Penny Arcade Sells Out
1725336,Product Design,The NOMATIC Travel Bag
65195,Tabletop Games,Coin Age -  A PAY-WHAT-YOU-WANT area control microgame
384410,Children's Books,Augie and the Green Knight: A Children's Adventure Book
462171,Wearables,ISOLATE\xae - Switch off your ears!
526125,Video Games,CLANG
1576011,Gadgets,Prynt: the first instant camera case for iPhone and Android
286972,Tabletop Games,Tiny Epic Kingdoms
2255018,Tabletop Games,Zombicide: Season 2
331046,Documentary,Embrace - The documentary that will create global change
329862,Product Design,KeySmart\u2122 - Free Your Pocket
1144399,Gadgets,Knocki: Make Any Surface Smart
508637,Video Games,Toejam and Earl: Back in the Groove
785724,Product Design,Roost Laptop Stand | Free yourself from laptop neck pain
3257695,Product Design,Smart Parka - The World's First Complete Winter Coat
761130,Product Design,Podo - The First Stick and Shoot Camera: The Sequel
941966,Graphic Design,The NASA Graphics Standards Manual reissue.
336018,Gadgets,Thermodo ~ The Tiny Thermometer for Mobile Devices
3307773,Product Design,G-RO: Revolutionary Carry-on Luggage
1091194,Video Games,Pathfinder Online: A Fantasy Sandbox MMO
1126036,Documentary,WHO THE F*@% IS FRANK ZAPPA?
242849,Hardware,RHINOSHIELD Crash Guard: Slim impact Bumper for iPhone5/6/6+
549486,Tabletop Games,The Dresden Files Cooperative Card Game
3126114,Product Design,"Nebia Shower - Better experience, 70% less water"
579599,Technology,Radiate Athletics: The Future of Sports Apparel
638471,Science Fiction,Star Trek: Axanar
325660,Product Design,"The Menstrual Cup, Reinvented | Lily Cup Compact"
1936825,Product Design,The ultimate sleep sanctuary: Kokoon EEG headphones
340270,Comics,Code Monkey Save World
1118333,Design,The Lomography Lomo'Instant Camera
484013,Technology,Glowing Plants: Natural Lighting with no Electricity
1546269,Tabletop Games,Ghostbusters: The Board Game
972594,Hardware,Earin - The Worlds Smallest Wireless Earbuds
211371,Video Games,War for the Overworld
1618869,Product Design,Ulo
483479,Art Books,Golden Ratio Coloring Book
157638,Product Design,Smarter Stand for iPad
224255,Nonfiction,The Zen Habits Book
167820,Hardware,SMART CHARGE KIT - Lightning or Micro USB Kit
416268,Technology,Legion Meter - Charge your smartphone 92% faster
591804,Film &amp; Video,"""Chug"" from the team that brought you ""Three Sheets"""
565983,Video Games,Dual Universe :: Civilization Building Sci-Fi MMORPG
601773,Video Games,Descent: Underground
411141,Product Design,Never tie laces again! ZUBITS magnetic lacing solution 2.0
1469202,Wearables,"Sgnl - Make Phone Calls with Your Fingertip, literally."
140481,Video Games,Maia
248358,Video Games,Among the Sleep
819108,Product Design,Capture Camera Clip v2 by Peak Design
731690,3D Printing,LIX - The Smallest Circular 3D Printing Pen In The World
883460,Hardware,Hub+ for USB-C: Get your MacBook ports back.
251089,Hardware,Halo Back: Add a back button to your iPhone
341667,Comics,SCIENCE: Ruining Everything Since 1543 (an SMBC Collection)
627644,Hardware,Hidrate Spark Smart Water Bottle
254133,Tabletop Games,Coup Reformation - Kickstarter Edition
424314,Product Design,Wipebook
625518,Animation,Little Witch Academia 2
423564,Product Design,BelayCords - Reversible USB Charging Cords iPhone & Android
248063,Product Design,Bernie Sanders Action Figure
188087,Design,Dash 4.0 Wallet - The Best RFID Slim Wallet
1255444,Video Games,Muv-Luv: A Pretty Sweet Visual Novel Series
93034,Technology,Nope - Live Free
554592,Robots,Support Team USA in the Giant Robot Duel!
356606,Product Design,Plastic Bottle Cutter
839834,Hardware,NudeAudio Super-M
86897,Gadgets,inCharge Bolt - The smallest keyring cable on steroids!
332226,Tabletop Games,Pairs: A New Classic Pub Game
275621,Product Design,"JUICIES+ for iPhone, Android, BlackBerry and Windows Phones"
1803988,Sound,Nura: Headphones that learn and adapt to your unique hearing
241947,Technology,"NFC Ring - One Smart Ring, Unlimited Possibilities"
246490,Art,The Art of Loish: A Look Behind the Scenes
1026292,Product Design,CST-01: The World's Thinnest Watch
275661,Design,inkbox: The 2 Week Tattoo
855625,Hardware,Almond+ : Long-Range Touchscreen WiFi Router + SmartHome Hub
441900,Animation,"""The Goon"" Movie... let's KICKSTART this sucker!!!"
534994,Comics,The Tomorrow Girl: Dresden Codak Volume 1
260235,Video Games,Battle Worlds: Kronos - Turn-based strategy revisited
640698,Hardware,OBDLink MX WiFi: A Wireless Gateway to Vehicle OBD Networks
317424,Fashion,TGT (Tight) - A New Kind Of Wallet
228004,Tabletop Games,Fugitive
313490,Product Design,HAND Stylus
114197,Video Games,"Town of Salem - Mobile, Steam, Localization"
1186983,Wearables,LVL \u2013 The First Wearable Hydration Monitor
345835,Video Games,Awesomenauts: Starstorm
1100629,Technology,iStick\u2122: USB Flash Drive with Lightning for iPhone and iPad
1428519,Robots,"Sesame. Your key, reinvented."
232365,Video Games,"Heart Forth, Alicia"
170954,Video Games,Code Hero: A Game That Teaches You To Make Games
249563,Product Design,Volt Planner - Reach Your Goals in 2017
334754,Video Games,We Happy Few
251647,Video Games,The Flame in the Flood
363254,Tabletop Games,STORY WAR : The Storytelling Party Game
209375,Video Games,Night In The Woods
502188,Gadgets,Blue Laser Lamp- with passive cooling technology
316720,Software,Light Table
355970,Tabletop Games,Endangered Orphans of Condyle Cove
672447,Space Exploration,LUNAR MISSION ONE: A new lunar mission for everyone.
615663,Apparel,The Undress- Change clothes in public without getting naked!
344069,Games,Dice Rings
307274,Product Design,The Ultimate Travel Sleep Solution - Nod Travel Pillow
1688179,Wearables,Vi. The First True Artificial Intelligence Personal Trainer
277399,Chiptune,Anamanaguchi - make ENDLESS FANTASY more than an album!
520177,Tabletop Games,Near and Far - Storytelling Board Game
591860,Fashion,EXPRESS BELT - The #1 Belt for Men
293184,Video Games,TUG
433038,Gaming Hardware,Arduboy - Card Sized Gaming
446666,Comedy,What We Do In The Shadows: The American Release
362033,Product Design,Your shoes just got insanely easy! Zubits make them magnetic
220852,Tabletop Games,Karmaka \u2013 A tactical card game for 2-4 souls
368614,Video Games,Jagged Alliance: Flashback
462405,Webseries,The Lizzie Bennet Diaries DVD...and More!
333127,Video Games,Pathologic (\u041c\u043e\u0440.\u0423\u0442\u043e\u043f\u0438\u044f)
377471,Webcomics,Religion: Ruining Everything Since 4004 BC
700524,Tabletop Games,"~ SANTORINI ~ Learn it in 30 seconds, play it for life!"
453803,Nonfiction,The Freedom Journal\xa0Accomplish Your #1 Goal in 100 Days
171254,Tabletop Games,The Resistance - Hostile Intent & Hidden Agenda
394019,Video Games,Small World 2: The Return!
555661,Tabletop Games,"Hero Realms, a Deckbuilding Adventure Card Game"
532614,Art Books,Masters Of Anatomy
573760,DIY Electronics,MicroView: Chip-sized Arduino with built-in OLED Display!
429715,Video Games,SolForge Digital Trading Card Game
337325,Tabletop Games,Evolution: CLIMATE (a stand-alone boardgame)
158922,Webseries,Tropes vs. Women in Video Games
256217,Video Games,"THE LONG DARK, a post-disaster survival experience"
598104,Video Games,Tex Murphy - Project Fedora
777777,Wearables,"Octopus by Joy, the training wheels for good habits!"
168314,Video Games,Diabotical by The GD Studio
191897,Video Games,CHASM
679255,Tabletop Games,Mare Nostrum - Empires
214053,Tabletop Games,Villages of Valeria
4961032,Hardware,Altered:Nozzle - Same tap. 98% less water.
160055,Video Games,Sui Generis
366199,Gadgets,StoneTether - The Smallest Tracking Device at Long Range
225045,Music,Brand New Mindless Self Indulgence Record!
133495,Tabletop Games,Doublesix Dice: Roll Better
55492,Food,Potato Salad
166910,Accessories,THE MAGIC COIN POUCH - handle coins better
372039,Design,JUMP Cable by Native Union
335618,Tabletop Games,Boss Monster: The Next Level
1069386,Hardware,Blink: Wire-Free HD Home Monitoring & Alert System
120333,Tabletop Games,Thief's Market
275368,Tabletop Games,THE AGENTS - A Double-edged Cards Game
388464,Product Design,Luminoodle: Versatile USB Lighting Solution
541991,Product Design,"Foldio2, \u201cBIGGER & SMARTER\u201d"
446940,Product Design,SolarPuff: A Unique Little Solar Light
802812,Graphic Design,The NYCTA Graphics\xa0Standards Manual reissue
50949,Product Design,Litographs Tattoos: Wearable Tributes to Iconic Books
259593,Video Games,Children of Zodiarcs - A new Tactical JRPG by AAA veterans
251362,Games,Storium \u2014 The Online Storytelling Game
89165,Tabletop Games,Mint Works - The pocket-sized worker placement game
316581,Product Design,baKblade 2.0 - the Ultimate DIY Back & Body Shaver
1290522,Tabletop Games,Super Dungeon Explore: Legends
355784,Tabletop Games,Plague Inc: The Board Game
1151889,Tabletop Games,Super Dungeon Explore: Forgotten King
65497,Apps,Next Keyboard - The Perfect Keyboard for iPhone
519851,Product Design,Snatoms! The Magnetic Molecular Modeling Kit
220709,Video Games,SAURIAN - An open world dinosaur survival experience
391047,Video Games,Twilight Struggle Digital Edition
166469,Tabletop Games,AKO DICE
572891,Technology,Remee - The REM enhancing Lucid Dreaming Mask
1596457,Hardware,Cubetto - Hands on coding for ages 3 and up
322695,Product Design,SELF Journal: Your Daily Structure for Success
430943,Film &amp; Video,oneOeight
384375,Documentary,"BRIDEGROOM - A Love Story, Unequaled"
1330293,Wearables,The World's First Heated Down Jacket w/ 6X Mobile Charging
200641,Software,Decentralize the web with Diaspora
245870,Comics,I DRAW COMICS Sketchbook & Reference Guide
1418910,Narrative Film,The Newest Hottest Spike Lee Joint
66804,Technology,Chameleon:  A Better Home Screen for your Android Tablet
132689,Video Games,Cosmic Star Heroine (Sci-Fi/Spy RPG) for PC/Mac/PS4/Vita
187706,Video Games,Halcyon 6: Starbase Commander
139768,Product Design,PiCO- Titanium Micro Bottle Opener
264762,Rock,New Studio Album from Toad the Wet Sprocket!
1021583,Gadgets,"Solar Paper, the world's thinnest and lightest solar charger"
271726,Video Games,Defense Grid 2
108398,Video Games,Survive the Nights \u2014 Multiplayer | Survival | Sandbox
362679,Product Design,Imbue - The Magnetic Tea Infusing Vessel
203488,Product Design,Slim: The Thinnest Wallet Ever
259933,Product Design,MAGNETIPS\u2122 - Incredible Magnetic Pens!
305360,Video Games,Armello - Bringing Tabletop Adventures to Life
32283,Tabletop Games,Dungeon Roll - Winter Promo Pack
143498,Tabletop Games,HARBOUR - Master markets in a fantasy port
134236,Design,The Cosmonaut | A Wide-Grip Stylus for Touch Screens
140377,Product Design,Smoovie - Super steady video for your smartphone and GoPro.
716791,DIY Electronics,Brixo - Building Blocks Meet Electricity and IoT
171315,Accessories,BASICS: Slim Minimalist Wallet with easy access to all Cards
186158,Video Games,Giana Sisters: Twisted Dreams
1327559,Design,The Lampster | A Lamp with Attitude
467833,Wearables,Backbone: The world's FIRST complete smart posture support!
722622,Tabletop Games,Evil Dead 2: The Official Board Game
48339,Tabletop Games,Province - A Competitive Building Microgame for 2 Players
261148,Product Design,memobottle\u2122 | Slim Premium Reusable Bottles
264860,Film &amp; Video,RiffTrax Wants to Riff TWILIGHT Live in Theaters Nationwide!
652828,Gadgets,Noke: The World's Smartest Padlock
459147,Tabletop Games,Xia: Embers of a Forsaken Star
409150,Video Games,Hero-U: Rogue to Redemption by Corey and Lori Ann Cole
228526,Tabletop Games,Burgle Bros. - A Cooperative Heist Boardgame
926960,Design,Redefining Italian Luxury Watch - Filippo Loreti
1558280,Hardware,NEEO - The Thinking Remote
809551,Technology,Lumos - A Next Generation Bicycle Helmet
235152,Design,ProSounds X-Pro Hearing Protection
818098,Product Design,MIITO \u2013 the sustainable alternative to the electric kettle
178986,Video Games,"Moon Hunters, a Myth-Weaving RPG"
862211,Tabletop Games,Teenage Mutant Ninja Turtles: Shadows of the Past Board Game
198608,Comics,Steve Lichman- Volume 1
558863,Video Games,Shadowrun Online
219616,Gadgets,Qmote: The Water-Resistant Internet Remote for Smartphones
169187,Technology,Flag - the app that prints and mails your photos for free.
313218,DIY Electronics,"Digispark - The tiny, Arduino enabled, usb dev board!"
1057975,Tabletop Games,Dungeon Saga: The Dwarf King's Quest
295128,Product Design,MAGNETIC: Paper That Sticks to Walls
144960,Video Games,Paradise Lost: First Contact
1073512,Product Design,MONKII BARS 2 \u2014 A Gym You Can Take Anywhere
310091,Video Games,The Dwarves - A New Storydriven Fantasy RPG
203300,Video Games,OMORI
242309,Video Games,CRYAMORE!
178649,Product Design,Pocket Tripod | The only phone tripod you need.
267830,Tabletop Games,"""Viceroy"" Fantasy Pyramid Card/Board Game 1-4 Players 45 Min"
435316,Video Games,Jane Jensen's Moebius and Pinkerton Road Studio
750374,Sound,RippleBuds: Noise Blocking Earbuds with an In-Ear Microphone
332620,Video Games,Infinity: Battlescape
331938,Product Design,"A better bicycle bell, made in the USA."
541161,Video Games,CLANNAD Official English Release
343749,Wearables,TYLT V\xdc Pulse for Pebble Time\u2122
500784,Hardware,Lightpack \u2014 ambient backlight for your displays
324393,Product Design,Visionnaire - Fine Writing Instruments
463648,Sound,SNOOZ: Sound. Sleep.
917864,Tabletop Games,Rum & Bones: Second Tide
431143,Tabletop Games,YOKOHAMA Deluxe! by Hisashi Hayashi & TMG
263086,Product Design,HYDAWAY\xae | A Pocket-Sized Water Bottle Fit for any Adventure
411363,Tabletop Games,Outlive
406237,Animation,Anomalisa
87529,Gadgets,Nope 2.0 - Live Free
334211,Product Design,PENXO | The most minimalistic 2mm lead holder pencil
70864,Hardware,Mini MicroSD Reader for Android Smartphones & Tablets
229579,Tabletop Games,What Do You Meme?\u2122
176667,Video Games,Timespinner
273278,Technology,Nanoleaf One - The world's most energy efficient lightbulb!
91043,Product Design,Titanium Pocket Bit :  Key Ring Screwdriver / EDC Multi-tool
158109,Playing Cards,Writer Emergency Pack - helping writers get unstuck
185301,Comics,Smut Peddler 2014 : LADYPORN CONQUERS EARTH!
483524,Animation,WAKFU: The Animated Series
78497,Technology,"Console OS\u2122: Android\u2122, Remastered for The PC"
1209423,Technology,SmartThings: Make Your World Smarter
647658,Hardware,GameStick: The Most Portable TV Games Console Ever Created
1012742,Product Design,AGENT: The World's Smartest Watch
285081,Video Games,VIDEO GAMES LIVE: LEVEL 3! Game Composers of the World UNITE
273725,Webseries,Video Game High School
170477,Radio &amp; Podcasts,99% Invisible: Season 3
149741,Video Games,"Boss Monster: Dungeon-Building Game for PC, iPad & Android"
919925,Product Design,The Lomo'Instant Automat Camera
144681,Cookbooks,Good and Cheap: Eat Well on $4/Day (the PDF is free!)
195528,Video Games,"Soul Saga, the first 3D J-RPG on Kickstarter!"
248253,Design,Machine Era Wallet
419472,Hardware,WakaWaka Power: the Best Compact Solar Power Station & Light
531581,Product Design,"NORTH DRINKWARE : Mt. Hood, The Oregon Pint Glass"
162621,Footwear,SOLE-SOCKS.COM ... The Simple Sock Alternative
313411,Animation,Dick Figures: The Movie
151806,Video Games,Star Command Galaxies
425474,Fantasy,JourneyQuest Season 3
184499,Design,Scanbox - Turn your iPhone into a portable scanner
322420,Photography,100 More Years of Analog Film
291493,Fashion,Flint and Tinder: Premium Men's Underwear
578478,DIY Electronics,The Electron: Cellular dev kit with a global data plan
665725,Anthologies,Ctrl+Alt+Del 1.0: The Box Set
225386,Video Games,Tokyo Dark
567968,DIY Electronics,Spark Core: Wi-Fi for Everything (Arduino Compatible)
750192,Food,The WiFi Nomiku
216436,Wearables,Click - The First Watch Band Adapter for Apple Watch!
162372,Tabletop Games,Tiny Epic Defenders
285881,Design,GoldieBlox: The Engineering Toy for Girls
170277,Food,A Goose That Lays Golden Eggs
923680,Tabletop Games,Ogre Designer's Edition
164014,Video Games,CodeSpells: Express Yourself With Magic
166390,Tabletop Games,Coup - bluff & deception in the world of The Resistance
197626,Design,Chineasy: The easiest way to learn Chinese
187865,Video Games,"Limit Theory: An Infinite, Procedural Space Game"
668721,Tabletop Games,TOKAIDO - COLLECTOR'S EDITION
375058,Technology,EcoQube C- Your Window to Nature!
161897,Product Design,ChargeCard for iPhone and Android
