value,category,name
54486,Periodicals,Hail To The Victors 2012
43768,Video Games,Knite & The Ghost Lights - Wii U - PC - Mac - Linux
28805,Video Games,Interstellaria
377035,Camera Equipment,MIOPS: Smartphone Controllable High Speed Camera Trigger
702937,Hardware,NINJA SPHERE: Next Generation Control of Your Environment
107950,Product Design,The Vamp Stereo + Speaker \u2013 Bring Back The Sound
101351,Tabletop Games,The World of Smog: On Her Majesty's Service
86376,Technology,Dundabunga - Cameras | Smartphones | Tablets & more
323696,Product Design,BLAZAR: Aluminum Bluetooth Speaker & Artist Collaboration
211634,Musical,Deaf West Theatre's Spring Awakening Tony Performance
48269,Comics,"Something Terrible, by Dean Trippe"
65465,Tabletop Games,Gruff: The Tactical Card Game of Mutated Monster Goats
75770,Comics,God Hates Astronauts: The Completely Complete Edition
104831,Tabletop Games,Mummy: The Curse Core Rulebook
75808,Music,The Limousines - Hush - The New Album
309436,Product Design,MetaWatch STRATA: the Smartwatch for the iPhone 4S & Android
36661,Video Games,Infinite Space 3: Sea of Stars
118722,Documentary,"""UNDER THE SMOGBERRY TREES: The True Story of Dr. Demento"""
1258116,Gadgets,HeLi-on - The World's Most Compact Solar Charger
107421,Space Exploration,The most mysterious star in the Galaxy
82949,Apps,Glo Bible - The Bible App with Everything at Your Fingertips
162333,Product Design,iPen: the first active stylus for iPad!
92672,Cookbooks,Short Stack Editions (Vol. 1 - 3)
195617,Design,The Beluga Razor: A Barber Quality Shave...Minus the Barber
210520,Product Design,MagMod - Magnetic Speedlite Modifiers for Hot-Shoe Flashes
251225,Product Design,Petcube \u2014 stay closer to your pet
119547,Documentary,BURN: The Detroit Firefighter Documentary
86981,Food,Seasoning Stixs - Seasoning From the Inside Out
56280,Tabletop Games,Fire of Eidolon - 16-Bit Inspired Co-Op Dungeon Board Game
55176,Electronic Music,Studio Killers - We're Going To Perform Live!
57620,Illustration,Burl & Fur
166075,Product Design,Aria Wearable - Gesture Control for Pebble & Android
104332,DIY Electronics,RedBear Duo: A small and powerful Wi-Fi + BLE IoT board
108176,Music,Ellie Holcomb's Very First Full-Length Record!
44633,Product Design,"MUSGUARD: A removable, rollable bicycle fender"
193230,Gadgets,Folding USB Solar Cell
84918,Video Games,StarCraft Universe
299932,Tabletop Games,The Game Canopy\u2122
135589,Animation,Riding Bean High Octane Edition Anime Blu-ray
265897,Product Design,Beastgrip Pro the world's best camera rig for smartphones
51983,Video Games,Crossing Souls: An Adventure Between Life and Death
146313,Graphic Design,Ladislav Sutnar: Visual Design in Action - Facsimile Edition
114499,Product Design,The Jean Hanger: The new way to care for your jeans
119884,Documentary,Sweetening the Pill - a documentary
143979,Tabletop Games,Fantasy Coin: Legacy Gaming Coins
73163,Fiction,New Riyria Fantasy Novel: The Death of Dulgath (Staff Pick!)
78367,Tabletop Games,Fate Dice\u2122: Dice For Your Fate & Fudge Games
50525,Comics,SMALL TOWN WITCH - an illustrated magic noir story
22292,Gadgets,Fruit Fly Funnel\u2122 \u2022 The Reusable Trap \u2022 Bye Bye Fruit Flies!
130880,Documentary,BREAD HEAD: Can we prevent America's most feared disease?
81391,Product Design,Naked Filter | Clean Water For Every Body
108195,Hardware,ODiN - World's first projection mouse
68918,Tabletop Games,Dead Men Tell No Tales
68105,Wearables,One Smart Ring. Unlimited Possibilities.
89609,Tabletop Games,Games & Gears Ichiban Studios Pro Line Brush
65154,Tabletop Games,TORCHBEARER
588775,3D Printing,FormBox: A Desktop Vacuum Former That Makes Beautiful Things
143873,Tabletop Games,WAR & PIECES
226208,Narrative Film,"Kill Me, Deadly -  A Film Noir Comedy"
91660,Product Design,"STRAWBEES - dream BIG, build BIGGER!"
57341,Film &amp; Video,Costa Rican feature film: The Return
54950,Tabletop Games,Dragon's Hoard
44312,Product Design,"TRAYVAX, Wallet For Life"
65787,Graphic Design,Atelier Playing Cards
29237,Product Design,EarSkinz for EarPods
229819,Robots,Snotbot: Help fund critical whale research with drones.
63895,Product Design,MaCO - Magnetic Cable Organiser
157812,Documentary,Missing 411 The Movie
240672,Tabletop Games,Darkest Night: Second Edition
51424,Documentary,TPB AFK: The Pirate Bay \u2013 Away From Keyboard
96015,Hardware,Weighitz: Weigh Smarter
375640,Product Design,The Catalyst - Beer Fermentation Made Easy
68261,Product Design,The Pen Project - Schon DSGN Pens
97867,Fantasy,Mythica 4: The Iron Crown - starring Kevin Sorbo
107025,Comic Books,Vampire Hunter D: Message from Mars
35606,Video Games,Void Destroyer
114228,Tabletop Games,The Captain Is Dead
116894,Tabletop Games,GROUND FLOOR - A business building board game
236888,Product Design,"Brooklinen: All the quality, only a fraction of the price!"
58116,Accessories,NV: T-HOLDER will solve your shirt going out problems
41259,Video Games,Telepath Tactics - A Strategy RPG
75980,Tabletop Games,Pathogenesis
66533,Apps,How to Make a Freaking iPhone App - iOS 8 Swift
78755,Product Design,The Qlipter - The Super Clip That Will Rule Them All.
48411,Tabletop Games,Less - Like Chess but Less!
46578,Film &amp; Video,Tell 'Em Steve-Dave! Puppet Theatre
191771,Video Games,"Trainz Simulator: A New Era - Create, Drive, Operate, Share"
55422,Video Games,PULSAR: Lost Colony
71771,Product Design,Beehive Picture Hangers
28476,Animation,Scandinavia and the World Animated
116144,Comics,Doug TenNapel Sketchbook Archives
96772,Documentary,Dear Mr. Watterson - A Calvin & Hobbes Documentary
126280,Product Design,The Square.  The Water Bottle: Re-imagined.
38222,Comic Books,"Paradox Girl: Issues #1, #2 & #3"
668721,Technology,Fly12 Cycling Accessory | 1080p Camera & Front Light Combo
99235,Fashion,a Superior Alternative in Foam Composite Footwear
119728,Apparel,Nalla: The World\u2019s Most Versatile Swimwear
94279,Fashion,Socrates - The Most Clever Socks Ever
106280,Product Design,Tmouse-Worlds first deformable mouse
71050,Webseries,Smart Guys
115401,Hardware,Dot : The Physical Push Notification
50947,Product Design,Battery-free safety light that's powered by motion
235098,Product Design,The bi\u0113m Butter Sprayer
80465,Tabletop Games,100 Swords: Season 1
289772,Apparel,The Quarter Century Jacket | A 25 Year Guarantee
136487,Tabletop Games,Dwarven Adventurers Box Set
61010,Video Games,Star Traders 2 RPG
116655,Public Art,The 'Back to Rio' project by Favela Painting
35308,Video Games,Reassembly
83632,Webcomics,Life Beyond the Clouds: Kickstarting The Cloud Factory
142790,Tabletop Games,Machina Arcana
143377,Technology,Woojer - FEEL the Sound!
